,place,properties,finishing_level,area,bathrooms,bedrooms,price
0,"Maadi,Maadi Degla",Apartments,Semi Furnished,320 Sqm,3 Bathrooms,5 Bedrooms,"6,000,000 Egp"
1,"Maadi,Maadi Degla",Penthouses,Semi Furnished,700 Sqm,3 Bathrooms,5 Bedrooms,"7,000,000 Egp"
2,"Maadi,Maadi Sarayat",Apartments,Furnished ,220 Sqm,3 Bathrooms,3 Bedrooms,"6,000,000 Egp"
3,"Maadi,Old Maadi",Office Spaces,Semi Finished,320 Sqm,3 Bathrooms,4 Bedrooms,"4,500,000 Egp"
4,"Maadi,Maadi Degla",Apartments,Modern Furnished,190 Sqm,2 Bathrooms,2 Bedrooms,"2,500,000 Egp"
5,"Maadi,Maadi Sarayat",Ground Floors,Semi Furnished,300 Sqm,3 Bathrooms,3 Bedrooms,"7,000,000 Egp"
6,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,220 Sqm,2 Bathrooms,3 Bedrooms,"3,500,000 Egp"
7,"Maadi,Maadi Sarayat",Apartments,Furnished ,300 Sqm,3 Bathrooms,4 Bedrooms,"4,200,000 Egp"
8,"Maadi,Maadi Sarayat",Apartments,Furnished ,290 Sqm,3 Bathrooms,4 Bedrooms,"5,800,000 Egp"
9,"Maadi,Maadi Sarayat",Apartments,Furnished ,220 Sqm,3 Bathrooms,3 Bedrooms,"5,000,000 Egp"
10,"Maadi,Maadi Sarayat",Apartments,Furnished ,200 Sqm,3 Bathrooms,3 Bedrooms,"2,800,000 Egp"
11,"Maadi,Maadi Cornishe",Apartments,Furnished ,180 Sqm,2 Bathrooms,3 Bedrooms,"3,200,000 Egp"
12,"Maadi,Maadi Degla",Apartments,Semi Furnished,90 Sqm,1 Bathrooms,2 Bedrooms,"1,100,000 Egp"
13,"Maadi,New Maadi",Villas,Semi Furnished,320 Sqm,3 Bathrooms,4 Bedrooms,"7,000,000 Egp"
14,"Maadi,Maadi Sarayat",Apartments,Modern Furnished,300 Sqm,4 Bathrooms,4 Bedrooms,"6,350,000 Egp"
15,"Maadi,Maadi Sarayat",Apartments,Modern Furnished,300 Sqm,3 Bathrooms,4 Bedrooms,"4,900,000 Egp"
16,"Maadi,New Maadi",Villas,Modern Furnished,410 Sqm,3 Bathrooms,4 Bedrooms,"8,000,000 Egp"
17,"Maadi,Maadi Sarayat",Apartments,Furnished ,135 Sqm,2 Bathrooms,2 Bedrooms,"2,500,000 Egp"
18,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,205 Sqm,3 Bathrooms,3 Bedrooms,"5,200,000 Egp"
19,"Maadi,Maadi Degla",Apartments,Modern Furnished,120 Sqm,2 Bathrooms,2 Bedrooms,"1,600,000 Egp"
20,"Maadi,Maadi Degla",Apartments,Furnished ,160 Sqm,2 Bathrooms,2 Bedrooms,"2,500,000 Egp"
21,"Maadi,Maadi Sarayat",Apartments,Furnished ,160 Sqm,2 Bathrooms,3 Bedrooms,"2,750,000 Egp"
22,"Maadi,Maadi Degla",Apartments,Semi Furnished,230 Sqm,3 Bathrooms,3 Bedrooms,"3,500,000 Egp"
23,"Maadi,Maadi Degla",Apartments,Furnished ,150 Sqm,3 Bathrooms,2 Bedrooms,"2,500,000 Egp"
24,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,360 Sqm,4 Bathrooms,4 Bedrooms,"5,500,000 Egp"
25,"Maadi,Maadi Sarayat",Duplexes,Semi Furnished,320 Sqm,3 Bathrooms,4 Bedrooms,"5,000,000 Egp"
26,"Maadi,Maadi Sarayat",Apartments,Modern Furnished,330 Sqm,4 Bathrooms,4 Bedrooms,"7,500,000 Egp"
27,"New Cairo,Sodic East",Penthouses,Semi Furnished,317 Sqm,4 Bathrooms,4 Bedrooms,"7,900,000 Egp"
28,"Maadi,Maadi Degla",Apartments,Furnished ,110 Sqm,1 Bathrooms,2 Bedrooms,"1,350,000 Egp"
29,"Maadi,Maadi Degla",Ground Floors,Semi Furnished,90 Sqm,1 Bathrooms,2 Bedrooms,"2,300,000 Egp"
30,"Maadi,Maadi Sarayat",Ground Floors,Semi Furnished,300 Sqm,3 Bathrooms,4 Bedrooms,"6,500,000 Egp"
31,"Maadi,Maadi Degla",Duplexes,Furnished ,300 Sqm,4 Bathrooms,3 Bedrooms,"4,500,000 Egp"
32,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,300 Sqm,3 Bathrooms,4 Bedrooms,"6,000,000 Egp"
33,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,300 Sqm,3 Bathrooms,4 Bedrooms,"5,250,000 Egp"
34,"Maadi,Maadi Degla",Apartments,Semi Furnished,180 Sqm,2 Bathrooms,3 Bedrooms,"2,500,000 Egp"
35,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,320 Sqm,4 Bathrooms,4 Bedrooms,"6,500,000 Egp"
36,"Maadi,Maadi Degla",Apartments,Furnished ,330 Sqm,3 Bathrooms,3 Bedrooms,"6,000,000 Egp"
37,"Maadi,Maadi Sarayat",Penthouses,Semi Furnished,420 Sqm,3 Bathrooms,4 Bedrooms,"4,700,000 Egp"
38,"Maadi,Maadi Zahraa",Ground Floors,Semi Furnished,210 Sqm,2 Bathrooms,3 Bedrooms,"2,250,000 Egp"
39,"Maadi,Maadi Sarayat",Apartments,Furnished ,230 Sqm,2 Bathrooms,3 Bedrooms,"4,500,000 Egp"
40,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,325 Sqm,3 Bathrooms,4 Bedrooms,"7,500,000 Egp"
41,"Maadi,Maadi Sarayat",Apartments,Semi Furnished,300 Sqm,4 Bathrooms,4 Bedrooms,"5,250,000 Egp"
42,"Maadi,Maadi Sarayat",Apartments,Furnished ,200 Sqm,2 Bathrooms,4 Bedrooms,"5,000,000 Egp"
